,AuthorAffiliation,Year,A,B,C,D,E,F,G,H,I,J,K,O,Total,Range
22329,Istituto di Scienze e Tecnologie dellInformazione Universit di Urbino Carlo Bo Urbino Italy,2002,0,0,0,2,0,0,0,0,1,0,0,0,4,2.2
22330,University of Latvia,2002,0,0,0,0,0,0,0,0,1,0,0,0,1,1.1
22331,Archinoetics LLC Honolulu HI,2002,0,0,0,0,0,0,0,1,0,0,1,0,2,1.1
22332,University of Namur,2002,0,0,0,0,0,0,2,0,0,0,0,0,6,2.2
22333,Dipartimento di Informatica Universit di Torino Italy,2002,0,0,3,0,0,3,2,0,0,0,0,0,18,3.3000000000000003
22334,Ibaraki University,2002,0,0,0,0,0,0,1,0,0,0,0,0,4,1.1
22335,University of Huddersfield Queensgate Huddersfield UK,2002,0,0,0,0,0,0,0,1,0,0,0,0,1,1.1
22336,Telcordia Technologies,2002,0,0,0,0,0,0,1,1,3,0,0,0,5,3.3000000000000003
22337,Department of Information and Library Studies University of Wales Aberystwyth SY23 3AS UK,2002,0,0,0,0,0,0,0,1,0,0,0,0,1,1.1
22338,Camera dei Deputati,2002,0,0,0,0,0,0,0,0,2,0,0,0,2,2.2
22339,Xerox Corporation Rochester New York,2002,0,0,1,0,0,0,1,0,0,0,0,0,2,1.1
22340,Bell Laboratories Lisle IL,2002,0,0,0,4,0,0,0,2,0,0,0,0,6,4.4
22341,Sobolev Institute of Mathematics Novosibirsk Russia,2002,0,0,0,0,0,0,0,2,0,0,1,0,3,2.2
22342,Aarhus University,2002,0,0,0,2,0,1,0,4,0,1,0,0,8,4.4
22343,Curtin University,2002,0,0,2,0,2,0,0,4,1,0,0,0,14,4.4
22344,Southern Illinois University Edwardsville Edwardsville IL USA,2002,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
22345,James I University,2002,0,0,2,0,0,0,2,0,0,0,0,0,6,2.2
22346,University of Louisville,2002,0,0,0,0,0,0,4,3,0,0,0,0,11,4.4
22347,University of Idaho Moscow ID,2002,0,0,2,0,0,0,0,0,0,0,0,0,3,2.2
22348,Foreign Language Department Shandong Institute of Business and Technology Yantai Shandong 264005 China,2002,0,0,0,0,0,0,0,1,0,0,0,0,1,1.1
22349,Monterrey Institute of Technology,2002,0,0,0,0,0,0,0,1,0,0,0,0,1,1.1
22350,University of San Francisco San Francisco CA,2002,0,0,0,0,0,0,3,1,3,0,0,0,7,3.3000000000000003
22351,Korea Advanced Institute of Science and Technology,2002,0,5,1,6,0,2,0,12,2,0,1,0,29,13.200000000000001
22352,CNR Italy,2002,0,0,3,1,0,0,0,0,0,2,0,0,6,3.3000000000000003
22353,General Electric Global Research Niskayuna NY,2002,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0
22354,Department of Mathematics and Computer Science Lehman College City University of New York Bronx NY 10468 USA,2002,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
22355,City University of New York at Brooklyn,2002,0,0,0,0,0,0,0,0,0,0,1,0,1,1.1
22356,Ohio Supercomputer Center,2002,0,0,0,0,0,0,0,0,0,0,1,0,2,1.1
22357,Southeast University,2002,0,0,0,0,0,1,1,0,0,0,0,0,3,1.1
22358,Shipley Co 455 Forest St Marlboro MA 01752 USA,2002,0,0,1,0,0,0,0,0,0,0,0,0,1,1.1
22359,Department of Computer Science Trinity College Dublin,2002,0,0,0,1,0,0,0,0,0,0,1,0,4,1.1
22360,Computer Science Department The University of Texas at Tyler Tyler Texas,2002,0,0,0,0,0,0,0,0,0,0,1,0,1,1.1
22361,University of Maine Orono ME,2002,0,0,0,0,0,0,1,2,3,0,0,0,6,3.3000000000000003
22362,Dipartimento di Scienze e Metodi dellIngegneria Universit di Modena e Reggio Emilia Reggio Emilia Italy,2002,0,0,0,0,0,1,1,0,3,0,0,0,7,3.3000000000000003
22363,University of Milan,2002,2,0,11,1,0,3,1,6,3,0,3,0,36,12.100000000000001
22364,University of Brescia,2002,0,0,1,4,0,0,0,1,0,0,0,0,6,4.4
22365,Telefnica Investigacin y Desarrollo Madrid Spain 28043,2002,0,0,0,1,0,0,0,0,0,0,0,0,1,1.1
22366,Gifu University,2002,0,0,0,0,0,0,0,0,2,0,0,0,2,2.2
22367,Synopsys Inc Williston VT,2002,0,1,0,0,0,0,0,0,0,0,0,0,1,1.1
22368,Synopsys Inc Tualatin OR,2002,0,1,0,0,0,0,0,0,0,0,0,0,1,1.1
22369,Technical University of Berlin,2002,0,0,0,2,0,6,1,0,1,0,0,0,11,6.6000000000000005
22370,Hong Kong Polytechnic University,2002,0,0,0,5,0,4,7,4,6,0,2,0,31,7.700000000000001
22371,DEC Systems Research Center 130 Lytton Avenue Palo Alto CA,2002,0,0,0,0,0,0,0,2,0,0,0,0,2,2.2
22372,Coventry University Coventry UK,2002,0,0,0,0,0,0,2,3,5,1,0,0,11,5.5
22373,University of Washington Bothell Bothell WA USA,2002,0,0,0,0,0,0,0,0,1,0,1,0,2,1.1
22374,University of Alabama at Birmingham Birmingham AL,2002,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0
22375,Indiana University Purdue University,2002,0,0,0,3,0,0,0,2,4,1,0,0,16,4.4
22376,University of Hagen,2002,0,2,0,1,0,2,1,2,2,0,0,0,13,2.2
22377,National Center for Atmospheric Research Boulder CO,2002,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
22378,St Johns University Collegeville MN,2002,0,0,0,0,0,0,0,0,0,0,1,0,1,1.1
22379,ICPSLSIIT Universit Louis Pasteur Strasbourg Ple API Bd Sbastien Brant F67400 Illkirch France,2002,0,0,3,0,0,0,0,0,0,0,0,0,4,3.3000000000000003
22380,Humboldt State University Department of Computing Science Arcata CA,2002,0,0,0,0,0,0,0,0,0,0,1,0,1,1.1
22381,Chuo University,2002,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
22382,Max Planck Institute of Molecular Plant Physiology Am Mhlenberg 1 14476 Golm Germany,2002,0,0,0,0,0,0,0,1,0,0,0,0,6,1.1
22383,Universitat de les Illes Balears Palma de Mallorca Spain,2002,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
22384,Universit Roma Tre,2002,0,0,0,3,0,4,1,5,0,0,0,0,13,5.5
22385,University of Padua,2002,0,0,0,0,0,1,0,1,1,2,0,0,7,2.2
22386,FZI Forschungszentrum Informatik Karlsruhe Germany,2002,0,0,0,3,0,0,0,3,2,2,0,0,12,3.3000000000000003
22387,University of Bern,2002,0,0,0,4,0,0,0,0,4,0,0,0,10,4.4
22388,Computer Science Institute University of HalleWittenberg Halle Saale Germany,2002,0,0,0,1,0,1,2,0,0,0,0,0,4,2.2
22389,Department of Industrial Engineering University of Pittsburgh Pittsburgh Pennsylvania 15261,2002,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
22390,Clarkson University,2002,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1
22391,Universitat Rovira i Virgili Tarragona Spain,2002,0,0,0,4,0,1,0,0,0,0,0,0,5,4.4
22392,Queensland University of Technology,2002,0,0,0,0,0,0,0,4,0,0,0,0,5,4.4
22393,Department of Mathematics London School of Economics Houghton Street London WC2A 2AE United Kingdom,2002,0,0,0,0,0,0,2,0,0,0,0,0,2,2.2
22394,Nagaoka University of Technology,2002,0,0,0,0,0,0,0,0,2,0,0,0,2,2.2
22395,Bellcore Red Bank NJ,2002,0,0,1,0,0,0,0,0,0,1,0,0,4,1.1
