,AuthorAffiliation,Year,A,B,C,D,E,F,G,H,I,J,K,O,Total,Range
0,The RAND Corp Santa Monica CA,1960,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
1,Honeywell Systems and Research Center St Paul Minnesota,1960,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
2,GTE Laboratories Incorporated Waltham MA,1960,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
3,System Development Corporation Santa Monica California,1960,0,0,0,0,0,1,0,0,0,0,0,0,8,1.1
4,University of California Berkeley,1960,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0
5,Qualcomm Inc,1960,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
6,IBM TJ Watson Research Center,1960,0,0,0,0,0,1,0,0,0,0,0,0,4,1.1
7,Wang Institute of Graduate Studies Tyngsboro MA,1960,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
8,The RAND Corporation Santa Monica California,1960,0,0,0,0,0,1,2,1,0,0,0,0,6,2.2
9,Thompson Ramo Wooldridge Inc Canoga Park California,1960,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0
10,University of MichiganDearborn,1960,0,0,0,0,0,0,1,0,0,0,0,0,4,1.1
11,University of California Los Angeles,1960,0,0,0,0,0,0,3,0,0,0,0,0,4,3.3000000000000003
12,Carnegie Mellon University,1960,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
13,Stanford University,1960,0,0,0,0,0,0,1,0,0,0,0,0,7,1.1
14,Harvard University,1960,0,0,0,0,0,0,0,0,0,1,0,0,1,1.1
15,Argonne National Laboratory,1960,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
16,Oak Ridge National Laboratory,1960,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
17,National Bureau of Standards,1960,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0
18,University of Mainz Mainz Germany,1960,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
19,RSA Laboratories Bedford MA,1960,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
20,AT&T Bell Laboratories,1960,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
21,NEC Research Institute,1960,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0
22,Sandbridge Technologies Inc White Plains NY,1960,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0
23,University of Pennsylvania,1960,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
24,IBM Systems and Technology Group Poughkeepsie New York,1960,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0
25,Association for Computing Machinery New York NY,1960,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0
26,Massachusetts Institute of Technology,1960,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
27,Case Western Reserve University,1960,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
28,University of Wisconsin Madison,1960,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
29,San Jose State University,1960,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1
30,University of Chicago,1960,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
31,Objective Systems SF AB Kista Sweden and Objectory Corp Greenwich CT,1960,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
32,The RAND Corp Santa Monica CA,1961,0,0,0,0,0,0,1,0,1,0,0,0,7,1.1
33,DAFCA Inc Framingham MA,1961,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
34,University of California Berkeley,1961,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
35,Carnegie Mellon University,1961,0,0,0,3,0,0,0,3,0,0,0,0,7,3.3000000000000003
36,The MITRE Corporation,1961,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
37,System Development Corporation Santa Monica California,1961,0,0,0,1,0,3,1,0,0,0,0,0,12,3.3000000000000003
38,Thompson Ramo Wooldridge Inc Canoga Park California,1961,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
39,MIT Lincoln Laboratory Lexington MA,1961,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
40,Oregon State University,1961,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
41,Imperial College London,1961,0,1,0,1,0,0,0,0,0,0,0,0,2,1.1
42,University of Cambridge,1961,0,0,0,1,0,0,0,0,0,0,0,0,1,1.1
43,University of Pennsylvania,1961,0,0,0,3,1,0,0,0,0,1,0,0,9,3.3000000000000003
44,Princeton University,1961,0,0,0,2,0,1,0,0,0,0,0,0,3,2.2
45,University of Chicago,1961,0,0,0,1,0,0,1,0,0,0,0,0,3,1.1
46,California Institute of Technology,1961,0,0,0,2,0,0,0,0,0,0,0,0,2,2.2
47,Department of Electr Eng California Institute of Technol Pasadena CA,1961,0,0,0,1,0,0,0,0,0,0,0,0,2,1.1
48,Brandeis University,1961,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
49,Naval Surface Warfare Center,1961,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
50,University of Illinois at Chicago,1961,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
51,Sun Microsystems Laboratories,1961,0,0,0,3,0,0,0,0,0,0,0,0,3,3.3000000000000003
52,Aptima Inc Woburn MA,1961,0,0,0,1,0,0,0,0,0,0,0,0,2,1.1
53,Oak Ridge National Laboratory,1961,0,0,0,1,0,0,0,0,0,0,0,0,1,1.1
54,University of Copenhagen,1961,0,0,0,2,0,0,0,0,0,0,0,0,2,2.2
55,University of California Los Angeles,1961,0,0,0,2,0,0,3,0,0,0,0,0,15,3.3000000000000003
56,Hewlett Packard,1961,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
57,NEC Research Institute,1961,0,0,0,0,0,0,0,0,2,0,0,0,2,2.2
58,National Bureau of Standards,1961,0,0,0,0,2,0,0,0,0,0,0,0,2,2.2
59,Northrop Research and Technology Center Palos Verdes CA,1961,0,0,0,1,0,0,0,0,0,0,0,0,1,1.1
60,Sandbridge Technologies Inc White Plains NY,1961,0,0,0,0,0,0,0,0,0,0,2,0,3,2.2
61,IBM TJ Watson Research Center,1961,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
62,Stanford University,1961,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
63,Yale University,1961,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
64,Department of Electr & Computer Eng Air Force Institute of Technol Dayton OH USA,1961,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
65,University of Arizona,1961,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
66,New York University,1961,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1
67,Massachusetts Institute of Technology,1961,0,0,0,2,0,1,0,0,0,0,0,0,7,2.2
68,AT&T Bell Laboratories,1961,0,0,0,0,0,0,2,0,0,0,0,0,2,2.2
69,National Physical Lab Teddington England,1961,0,0,0,0,0,0,1,0,0,0,0,0,2,1.1
70,University of MichiganDearborn,1961,0,0,0,2,0,0,0,0,0,0,0,0,7,2.2
71,University of Mainz Mainz Germany,1961,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
72,University of Amsterdam,1961,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
73,Object Management Group Inc Needham MA,1961,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
74,Cornell University,1961,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
75,The RAND Corporation Santa Monica California,1961,0,0,0,0,0,0,0,1,0,0,0,0,2,1.1
76,Intel Research,1961,0,0,0,0,0,0,0,0,0,0,1,0,1,1.1
77,Elliott Brothers Ltd Hertfordshire England UK,1961,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0
78,Objective Systems SF AB Kista Sweden and Objectory Corp Greenwich CT,1961,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
79,University of Wisconsin Madison,1961,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
80,Illinois Institute of Technology,1961,0,0,0,2,0,0,0,0,0,0,0,0,2,2.2
81,Massachusetts Institute of Technology,1962,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0
82,University of Baltimore Baltimore MD,1962,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
83,IBM Corporation,1962,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
84,National Cash Register,1962,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
85,General Electric Company,1962,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
86,United States Steel Corp Appl Research Lab Monroeville PA,1962,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
87,Stanford University,1962,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0
88,University of Pennsylvania,1962,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0
89,Yahoo Labs,1962,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
90,Intel Research,1962,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
91,Department of Electr Eng California Institute of Technol Pasadena CA,1962,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
92,Naval Surface Warfare Center,1962,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
93,Iowa State University,1962,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
94,Carnegie Mellon University,1962,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0
95,University of Arizona,1962,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
96,Harvard University,1962,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
97,Oak Ridge National Laboratory,1962,0,0,0,1,0,0,0,0,0,0,0,0,3,1.1
98,National Bureau of Standards,1962,0,0,0,0,0,1,0,0,0,0,0,0,4,1.1
99,System Development Corporation Santa Monica California,1962,0,0,0,2,0,0,1,0,0,0,0,0,5,2.2
100,New York University,1962,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
101,Hewlett Packard,1962,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
102,University of Mainz Mainz Germany,1962,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
103,Aptima Inc Woburn MA,1962,0,0,0,0,0,0,1,0,0,0,0,0,6,1.1
104,NEC Research Institute,1962,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
105,University of California Los Angeles,1962,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
106,Louisiana Tech University,1962,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
107,University of North Carolina Chapel Hill,1962,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
108,AT&T Bell Laboratories,1962,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
109,The RAND Corporation Santa Monica California,1962,0,0,0,0,0,0,0,0,1,0,0,0,1,1.1
110,Thompson Ramo Wooldridge Inc Canoga Park California,1962,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
111,University of MichiganDearborn,1962,0,0,0,0,0,3,0,0,0,0,0,0,3,3.3000000000000003
112,California Institute of Technology,1962,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0
113,BBN Technologies,1962,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
114,Boston University,1962,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
115,University of Wisconsin Madison,1962,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
116,IBM TJ Watson Research Center,1962,0,0,0,0,0,1,0,0,0,0,0,0,3,1.1
117,University of Illinois at Chicago,1962,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
118,Massachusetts Institute of Technology,1963,0,0,0,1,0,1,0,0,1,0,0,0,15,1.1
119,University of Illinois at Chicago,1963,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
120,Auerbach Corporation,1963,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
121,Burroughs Corporation,1963,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
122,Systems Development Corporation,1963,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
123,BBN Technologies,1963,0,0,0,1,0,0,0,1,0,0,0,0,6,1.1
124,University of Toronto,1963,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0
125,University of British Columbia,1963,0,0,0,0,0,0,5,0,0,0,0,0,5,5.5
126,Department of Electr Eng California Institute of Technol Pasadena CA,1963,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0
127,Rice University,1963,0,0,0,0,0,0,0,0,1,0,0,0,1,1.1
128,System Development Corporation Santa Monica California,1963,0,0,0,2,0,4,0,0,1,0,0,0,12,4.4
129,NEC Research Institute,1963,1,0,0,0,0,0,0,0,0,0,0,0,13,1.1
130,Institut fr Angewandle Mathematik der Universitt Mainz,1963,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0
131,Scalable Network Technologies Inc Culver City CA,1963,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
132,Association for Computing Machinery New York NY,1963,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
133,University of Leicester,1963,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1
134,Thompson Ramo Wooldridge Inc Canoga Park California,1963,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0
135,University of Washington,1963,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1
136,Oak Ridge National Laboratory,1963,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1
137,Carnegie Mellon University,1963,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
138,Stanford University,1963,0,0,0,0,0,1,0,0,0,0,0,0,7,1.1
139,Harvard University,1963,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0
140,Digital Equipment Corporation Maynard Massachusetts,1963,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
141,University of California Los Angeles,1963,0,0,0,0,0,1,0,0,0,0,0,0,5,1.1
142,University of California Berkeley,1963,0,0,0,0,0,2,0,0,0,0,0,0,6,2.2
143,California Institute of Technology,1963,1,0,0,0,0,0,0,0,0,0,0,0,3,1.1
144,University of Pennsylvania,1963,0,0,0,0,0,1,0,0,0,0,0,0,4,1.1
145,IBM Systems and Technology Group Poughkeepsie New York,1963,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
146,University of California Davis,1963,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
147,University of Sydney Australia,1963,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
148,Louisiana Tech University,1963,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
149,University of MichiganDearborn,1963,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1
150,University of North Carolina Chapel Hill,1963,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
151,AT&T Bell Laboratories,1963,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
152,Cornell University,1963,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
153,University of Copenhagen,1963,0,0,0,0,0,0,0,0,0,0,0,0,11,0.0
154,JohannesGutenbergUniversitt Mainz Germany,1963,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
155,MIT Lincoln Laboratory Lexington MA,1963,0,0,0,0,0,0,0,0,1,0,0,0,1,1.1
156,Stevens Institute of Technology,1963,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
157,Institute for Information Technology National Research Council Canada Ottawa Ontario Canada,1963,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
158,IBM TJ Watson Research Center,1963,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
159,University of Amsterdam,1963,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
160,GE Research and Development Schenectady NY,1963,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1
161,The RAND Corporation Santa Monica California,1963,0,0,0,0,0,0,0,0,1,0,0,0,1,1.1
162,Aptima Inc Woburn MA,1963,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1
163,Georgia Institute of Technology,1964,0,0,0,0,0,0,0,0,0,0,2,0,3,2.2
164,University of Wisconsin Madison,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
165,Iowa State University,1964,0,0,0,1,0,0,0,0,0,0,0,0,2,1.1
166,University of Maryland,1964,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
167,University of British Columbia,1964,0,0,0,0,0,0,2,0,0,0,0,0,2,2.2
168,IBM TJ Watson Research Center,1964,0,0,0,1,0,7,0,1,0,0,0,0,13,7.700000000000001
169,Imperial College London,1964,0,0,0,0,0,0,1,0,0,0,0,0,2,1.1
170,National Bureau of Standards,1964,0,0,0,0,0,0,1,0,0,0,0,0,2,1.1
171,Technical University of Munich,1964,0,0,0,1,0,0,1,0,0,0,0,0,2,1.1
172,Argonne National Laboratory,1964,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0
173,University of Rochester,1964,0,0,0,0,0,0,0,0,0,0,1,0,1,1.1
174,University of Pennsylvania,1964,0,0,0,0,0,0,0,0,0,0,1,0,2,1.1
175,Northrop Grumman Corporation,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
176,University of Toronto,1964,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
177,Stanford University,1964,0,0,0,1,0,3,2,0,0,0,1,0,7,3.3000000000000003
178,IBM Systems and Technology Group Poughkeepsie New York,1964,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0
179,NEC Research Institute,1964,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
180,University of California Los Angeles,1964,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
181,Ansima Inc Los Gatos CA,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
182,Computer Associates Inc Wakefield Massachusetts,1964,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0
183,Harvard University,1964,0,0,0,1,0,0,0,0,0,0,1,0,3,1.1
184,University of California Berkeley,1964,0,0,0,0,0,1,0,0,0,0,1,0,3,1.1
185,System Development Corporation Santa Monica California,1964,0,0,0,1,1,0,2,0,0,0,0,0,11,2.2
186,The RAND Corporation Santa Monica California,1964,0,0,0,2,0,0,0,0,0,3,0,0,6,3.3000000000000003
187,AT&T Bell Laboratories,1964,0,0,0,3,0,0,0,0,0,0,1,0,5,3.3000000000000003
188,Brookhaven National Laboratory,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
189,Columbia University,1964,0,0,0,0,2,0,0,0,0,0,0,0,3,2.2
190,Princeton University,1964,0,0,0,0,0,0,0,0,4,0,0,0,4,4.4
191,Massachusetts Institute of Technology,1964,0,0,0,4,0,0,0,0,0,1,0,0,12,4.4
192,Experimental Computing Laboratory Cincinnati OH,1964,0,0,0,0,0,0,0,0,0,0,1,0,1,1.1
193,IB EuroCaucasian University,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
194,Cadence Design Systems Inc Endicott New York USA,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
195,Carnegie Mellon University,1964,0,0,0,2,0,0,0,0,0,0,0,0,4,2.2
196,BBN Technologies,1964,0,0,0,1,0,4,0,0,0,0,0,0,5,4.4
197,University of Texas,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
198,Purdue University,1964,0,0,0,1,0,0,0,0,0,0,1,0,3,1.1
199,Altarum Institute,1964,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1
200,University of MichiganDearborn,1964,0,0,0,0,0,0,1,0,0,0,1,0,3,1.1
201,University of Copenhagen,1964,0,0,0,0,0,2,1,0,0,0,0,0,3,2.2
202,University of Illinois at UrbanaChampaign,1964,0,0,0,0,0,0,0,0,0,0,1,0,1,1.1
203,Independent Consultant Phoenix AZ,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
204,California Institute of Technology,1964,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
205,Eindhoven University of Technology,1964,0,0,0,1,0,0,0,0,0,0,0,0,1,1.1
206,IBM Almaden Research Center,1964,0,0,0,0,0,0,0,1,0,0,0,0,1,1.1
207,University of California Livermore,1964,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
208,University of Cambridge,1964,0,0,0,1,0,0,0,0,0,0,0,0,1,1.1
209,University of Alberta,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
210,InContext Enterprises Inc Sudbury MA,1964,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
211,University of California Santa Barbara,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
212,Association for Computing Machinery New York NY,1964,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1
213,Sandbridge Technologies Inc White Plains NY,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
214,Thompson Ramo Wooldridge Inc Canoga Park California,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
215,Pennsylvania State University,1965,0,0,0,0,0,1,0,0,0,0,0,0,2,1.1
216,Carnegie Mellon University,1965,0,0,0,0,0,0,0,0,2,0,1,0,4,2.2
217,New York University,1965,0,0,0,1,0,0,0,0,0,0,1,0,2,1.1
218,AT&T Bell Laboratories,1965,0,0,0,2,0,0,1,0,0,0,0,0,8,2.2
219,Independent Consultant Phoenix AZ,1965,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
220,Massachusetts Institute of Technology,1965,0,0,0,1,0,0,0,0,2,1,0,0,11,2.2
221,The RAND Corp Santa Monica CA,1965,0,0,0,0,0,0,9,0,0,0,0,0,9,9.9
222,RSA Laboratories Bedford MA,1965,0,0,0,0,0,1,1,0,0,2,0,0,4,2.2
223,The MITRE Corporation,1965,0,0,0,0,0,0,1,0,0,0,0,0,6,1.1
224,University of Texas,1965,0,0,0,0,0,0,1,0,0,0,0,0,3,1.1
225,Purdue University,1965,0,0,0,4,0,0,0,0,0,0,1,0,5,4.4
226,Southern Illinois University Edwardsville Edwardsville IL USA,1965,0,0,0,0,0,0,0,0,0,0,1,0,1,1.1
227,University of Kentucky,1965,0,0,0,0,0,0,0,0,0,0,1,0,1,1.1
228,University of Maryland,1965,0,0,0,0,0,0,0,0,0,0,1,0,1,1.1
229,Georgia Institute of Technology,1965,0,0,0,0,0,0,0,0,0,0,1,0,1,1.1
230,IBM Almaden Research Center,1965,0,0,0,1,0,0,0,0,0,0,0,0,2,1.1
231,Argonne National Laboratory,1965,0,0,0,0,0,3,0,0,0,0,0,0,3,3.3000000000000003
232,Rice University,1965,0,0,0,0,0,0,0,0,1,0,0,0,1,1.1
233,Johns Hopkins University,1965,0,0,0,2,0,0,0,0,0,0,0,0,2,2.2
234,BBN Technologies,1965,0,0,0,0,0,0,0,1,1,0,0,0,5,1.1
235,NEC Research Institute,1965,0,0,0,3,0,0,0,0,0,0,0,0,3,3.3000000000000003
236,System Development Corporation Santa Monica California,1965,0,0,0,1,0,1,0,0,0,1,0,0,4,1.1
237,University of Pennsylvania,1965,0,0,0,0,0,0,0,0,0,0,2,0,2,2.2
238,University of Illinois at UrbanaChampaign,1965,0,0,0,3,0,0,0,0,0,0,0,0,3,3.3000000000000003
239,Electronic Data Systems Corporation Research and Development 3551 Hamlin Rd Auburn Hills MI,1965,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
240,General Electric Company,1965,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
241,IBM Corporation,1965,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
242,IBM Systems and Technology Group Poughkeepsie New York,1965,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
243,Cornell University,1965,0,0,0,3,0,0,0,0,0,0,0,0,3,3.3000000000000003
244,National Physical Lab Teddington England,1965,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1
245,General Motors Research Laboratories Warren MI,1965,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
246,Nokia Research Center,1965,0,0,0,0,0,0,0,0,0,1,0,0,1,1.1
247,University of Toronto,1965,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
248,Northwestern University,1965,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1
249,Stanford University,1965,0,0,0,3,0,1,4,0,0,1,0,0,10,4.4
250,State University of New York Albany,1965,0,0,0,1,0,0,0,0,0,0,0,0,1,1.1
251,GE Research and Development Schenectady NY,1965,0,0,0,1,0,0,0,0,0,0,0,0,1,1.1
252,University of California Livermore,1965,0,0,0,1,0,1,0,0,1,0,0,0,3,1.1
253,National Bureau of Standards,1965,0,0,0,1,0,0,0,0,0,0,0,0,1,1.1
254,Medical Research Council London England,1965,0,0,0,0,0,0,3,0,0,0,0,0,3,3.3000000000000003
255,CCLRC Rutherford Appleton Laboratory Didcot UK,1965,0,0,0,1,0,0,0,0,0,0,0,0,1,1.1
256,Carnegie Institute of Technology Pittsburgh Pennsylvania,1965,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
257,Northrop Grumman Corporation,1965,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1
258,University of California Berkeley,1965,0,0,0,0,0,1,0,0,0,0,0,0,4,1.1
259,Hewlett Packard,1965,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
260,The RAND Corporation Santa Monica California,1965,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
261,MIT Lincoln Laboratory Lexington MA,1965,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
262,Viewpoints Research Institute Glendale CA,1965,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
263,IBM TJ Watson Research Center,1965,0,0,0,1,0,0,1,0,0,0,0,0,9,1.1
264,Harvard University,1965,0,0,0,1,0,1,0,2,0,0,0,0,6,2.2
265,Lockheed Martin Federal Systems Owego NY,1965,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
266,University of California Los Angeles,1965,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
267,University of Kansas,1965,0,0,0,1,0,0,0,0,0,0,0,0,1,1.1
268,Lawrence Livermore National Laboratory,1965,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
269,University of Chicago,1965,0,0,0,0,0,0,1,0,0,0,0,0,2,1.1
270,Kyoto University,1965,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
271,Association for Computing Machinery New York NY,1965,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
272,Technion,1965,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1
273,University of Copenhagen,1965,0,0,0,1,0,0,0,0,0,0,0,0,1,1.1
274,University of Virginia,1965,0,0,0,1,0,0,0,0,0,0,0,0,1,1.1
275,SRI International,1965,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1
276,University of Ottawa,1965,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
277,Eindhoven University of Technology,1965,0,0,0,1,0,0,0,0,0,0,0,0,1,1.1
278,Case Western Reserve University,1965,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1
279,Swinburne University of Technology,1965,0,0,0,1,0,0,0,0,0,0,0,0,1,1.1
280,Scalable Network Technologies Inc Culver City CA,1965,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
281,University of Canterbury,1965,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1
282,Arizona State University,1965,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
283,Imperial College London,1965,0,0,0,1,0,0,3,0,0,0,0,0,4,3.3000000000000003
284,Carnegie Institute of Technology Pittsburgh Pennsylvania,1966,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0
285,Lister Hill Center Bethesda MD,1966,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
286,The RAND Corp Santa Monica CA,1966,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0
287,System Development Corporation Santa Monica California,1966,0,0,0,0,0,3,0,0,0,0,0,0,13,3.3000000000000003
288,University of California Los Angeles,1966,0,0,0,0,0,0,2,0,0,0,0,0,6,2.2
289,MIT Lincoln Laboratory Lexington MA,1966,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0
290,BBN Technologies,1966,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0
291,University of Houston,1966,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
